0.80,0.55,0.22,0.03
0.83,0.51,0.24,0.03
0.81,0.55,0.22,0.03
0.80,0.54,0.26,0.03
0.79,0.57,0.22,0.03
0.78,0.57,0.25,0.06
0.78,0.58,0.24,0.05
0.80,0.55,0.24,0.03
0.81,0.53,0.26,0.04
0.82,0.52,0.25,0.02
0.80,0.55,0.22,0.03
0.79,0.56,0.26,0.03
0.82,0.51,0.24,0.02
0.80,0.56,0.21,0.02
0.81,0.56,0.17,0.03
0.77,0.60,0.20,0.05
0.79,0.57,0.19,0.06
0.80,0.55,0.22,0.05
0.81,0.54,0.24,0.04
0.78,0.58,0.23,0.05
0.82,0.51,0.26,0.03
0.79,0.57,0.23,0.06
0.78,0.61,0.17,0.03
0.81,0.52,0.27,0.08
0.78,0.55,0.31,0.03
0.83,0.50,0.26,0.03
0.80,0.54,0.26,0.06
0.81,0.54,0.23,0.03
0.82,0.53,0.22,0.03
0.80,0.54,0.27,0.03
0.81,0.52,0.27,0.03
0.82,0.52,0.23,0.06
0.77,0.60,0.22,0.01
0.78,0.59,0.20,0.03
0.82,0.52,0.25,0.03
0.83,0.53,0.20,0.03
0.83,0.53,0.20,0.03
0.79,0.58,0.22,0.02
0.80,0.55,0.24,0.04
0.81,0.54,0.24,0.03
0.80,0.56,0.21,0.05
0.86,0.44,0.25,0.06
0.79,0.57,0.23,0.04
0.79,0.55,0.25,0.09
0.77,0.57,0.29,0.06
0.82,0.51,0.24,0.05
0.78,0.58,0.24,0.03
0.80,0.55,0.24,0.03
0.80,0.56,0.23,0.03
0.81,0.54,0.23,0.03
0.77,0.35,0.51,0.15
0.75,0.37,0.52,0.17
0.76,0.34,0.54,0.16
0.75,0.32,0.55,0.18
0.76,0.33,0.54,0.17
0.72,0.35,0.57,0.16
0.73,0.38,0.54,0.18
0.76,0.37,0.51,0.15
0.76,0.34,0.53,0.15
0.72,0.38,0.54,0.20
0.77,0.31,0.54,0.15
0.74,0.38,0.53,0.19
0.79,0.29,0.53,0.13
0.73,0.35,0.56,0.17
0.76,0.39,0.49,0.18
0.77,0.36,0.51,0.16
0.71,0.38,0.57,0.19
0.76,0.35,0.53,0.13
0.76,0.27,0.55,0.18
0.76,0.34,0.53,0.15
0.70,0.38,0.57,0.21
0.77,0.35,0.50,0.16
0.74,0.29,0.58,0.18
0.74,0.34,0.57,0.14
0.77,0.35,0.52,0.16
0.77,0.35,0.51,0.16
0.76,0.31,0.54,0.16
0.74,0.33,0.55,0.19
0.73,0.35,0.55,0.18
0.79,0.36,0.48,0.14
0.77,0.33,0.53,0.15
0.77,0.34,0.52,0.14
0.76,0.36,0.51,0.16
0.71,0.32,0.60,0.19
0.69,0.39,0.58,0.19
0.72,0.41,0.54,0.19
0.75,0.35,0.53,0.17
0.78,0.28,0.54,0.16
0.73,0.39,0.53,0.17
0.75,0.34,0.54,0.18
0.72,0.34,0.58,0.16
0.73,0.36,0.55,0.17
0.76,0.34,0.53,0.16
0.77,0.35,0.51,0.15
0.74,0.35,0.55,0.17
0.73,0.39,0.54,0.15
0.73,0.37,0.54,0.17
0.76,0.35,0.53,0.16
0.78,0.38,0.46,0.17
0.74,0.37,0.53,0.17
0.65,0.34,0.62,0.26
0.69,0.32,0.61,0.23
0.71,0.30,0.59,0.21
0.69,0.32,0.62,0.20
0.69,0.32,0.61,0.23
0.71,0.28,0.62,0.20
0.67,0.34,0.62,0.23
0.71,0.28,0.62,0.18
0.71,0.27,0.62,0.19
0.69,0.35,0.59,0.24
0.72,0.35,0.56,0.22
0.72,0.30,0.59,0.21
0.72,0.32,0.58,0.22
0.69,0.30,0.61,0.24
0.68,0.33,0.60,0.28
0.70,0.35,0.58,0.25
0.71,0.33,0.60,0.20
0.69,0.34,0.60,0.20
0.71,0.24,0.63,0.21
0.73,0.27,0.61,0.18
0.71,0.33,0.58,0.24
0.68,0.34,0.60,0.24
0.71,0.26,0.62,0.19
0.73,0.31,0.57,0.21
0.70,0.34,0.59,0.22
0.72,0.32,0.60,0.18
0.73,0.33,0.56,0.21
0.71,0.35,0.57,0.21
0.70,0.30,0.61,0.23
0.73,0.30,0.59,0.16
0.73,0.28,0.60,0.19
0.72,0.34,0.58,0.18
0.69,0.30,0.61,0.24
0.72,0.32,0.59,0.17
0.69,0.30,0.64,0.16
0.73,0.29,0.58,0.22
0.67,0.36,0.60,0.26
0.70,0.34,0.60,0.20
0.71,0.36,0.57,0.21
0.72,0.33,0.57,0.22
0.70,0.32,0.59,0.25
0.73,0.33,0.54,0.24
0.69,0.32,0.61,0.23
0.69,0.33,0.60,0.23
0.69,0.34,0.59,0.26
0.72,0.32,0.56,0.25
0.73,0.29,0.58,0.22
0.72,0.33,0.57,0.22
0.67,0.37,0.59,0.25
0.69,0.35,0.60,0.21
